Title,Abstract
"['webbased', 'scholarship', 'finder']","['according', 'many', 'filipino', 'viewed', 'education', 'privilege', 'fortunate', 'one', 'go', 'school', 'especially', 'higher', 'education', 'aid', 'various', 'nongovernment', 'organization', 'provide', 'scholarship', 'deserving', 'student', 'webbased', 'scholarship', 'finder', 'provide', 'system', 'suggest', 'match', 'scholarship', 'student', 'based', 'requirement', 'set', 'provider', 'system', 'allows', 'student', 'scholarship', 'financial', 'assistance', 'unit', 'ssfau', 'office', 'automatically', 'post', 'information', 'scholarship', 'available', 'system', 'developed', 'implemented', 'using', 'javascript', 'jquery', 'cs', 'bootstrap', 'html', 'graphical', 'user', 'interface', 'php', 'system', 'apache', 'mysql', 'database', 'survey', 'show', 'importance', 'system', 'student', 'keywords', 'webbased', 'scholarship', 'provider', 'php']"
"['agricultural', 'comprehensive', 'assessment', 'landscape', 'modeling', 'suitanability', 'analysis', 'forecasting', 'event', 'calmsafe', 'agriculture', 'program', 'design', 'development', 'agricultural', 'calmsafe', 'decision', 'support', 'system', 'ds', 'platform']","['agricultural', 'modernization', 'important', 'aspect', 'agricultural', 'calmsafe', 'decision', 'support', 'system', 'ds', 'platform', 'designed', 'find', 'valuable', 'planning', 'decisionmaking', 'management', 'resource', 'importantly', 'agricultural', 'sector', 'within', 'region', 'system', 'connected', 'database', 'gathered', 'first', 'objective', 'acquire', 'sensor', 'managed', 'incorporate', 'information', 'insect', 'farmer', 'want', 'know', 'help', 'farmer', 'decision', 'making', 'much', 'pesticide', 'farmer', 'apply', 'rice', 'field', 'system', 'also', 'give', 'recommendation', 'pesticide', 'based', 'detected', 'insect', 'rice', 'field', 'help', 'farmer', 'controlling', 'usage', 'pesticide', 'damage', 'nearby', 'water', 'network', 'land', 'keywords', 'farm', 'insect', 'pest', 'pesticide', 'decision', 'support', 'system', 'pest', 'control']"
"['planning', 'designing', 'agroforestry', 'system', 'region']","['agroforestry', 'land', 'use', 'management', 'system', 'tree', 'shrub', 'grown', 'around', 'among', 'crop', 'pastureland', 'combine', 'shrub', 'tree', 'agricultural', 'forestry', 'technology', 'create', 'diverse', 'productive', 'profitable', 'healthy', 'sustainable', 'land', 'usesystem', 'land', 'capability', 'assessment', 'mapping', 'area', 'one', 'requirement', 'achieve', 'best', 'possible', 'utilization', 'farming', 'land', 'resource', 'sustainable', 'agricultural', 'production', 'productivity', 'crop', 'tree', 'corresponds', 'bio', 'physicals', 'land', 'sustainability', 'technical', 'skill', 'capability', 'farmer', 'however', 'manual', 'normal', 'process', 'assessing', 'land', 'capability', 'locating', 'area', 'suitability', 'take', 'time', 'easy', 'landuse', 'official', 'farmer', 'individual', 'aim', 'develop', 'automated', 'agroforestry', 'system', 'region', 'assist', 'agricultural', 'sector', 'agricultural', 'production', 'land', 'capability', 'assessment', 'ease', 'dissemination', 'information', 'land', 'biophysical', 'recommends', 'crop', 'suited', 'planted', 'specific', 'area', 'region', 'application', 'information', 'technology', 'help', 'automating', 'system', 'use', 'xampp', 'php', 'selected', 'crop', 'forest', 'tree', 'specie', 'corresponding', 'selected', 'biophysical', 'characteristic', 'altitude', 'elevation', 'soil', 'type', 'temperature', 'rainfall', 'requirement', 'manipulated', 'assessing', 'land', 'capability', 'use', 'google', 'fusion', 'identifying', 'crop', 'suitability', 'specific', 'area', 'easily', 'located', 'furthermore', 'software', 'reliability', 'check', 'conducted', 'know', 'accuracy', 'system', 'keywords', 'xampp', 'php', 'google', 'fusion']"
"['webbased', 'forecasting', 'tool', 'measuring', 'ph', 'fecal', 'coliform', 'level', 'chosen', 'beach', 'agusan', 'del', 'norte']","['agusan', 'del', 'norte', 'province', 'find', 'beautiful', 'place', 'recreation', 'like', 'beach', 'clean', 'beach', 'one', 'factor', 'tourist', 'must', 'consider', 'first', 'going', 'also', 'beach', 'found', 'higher', 'level', 'ph', 'fecal', 'coliform', 'higher', 'level', 'fecal', 'coliform', 'give', 'disadvantage', 'human', 'health', 'like', 'typhoid', 'fever', 'viral', 'bacterial', 'gastroenteritis', 'hepatitis', 'also', 'pil', 'higher', 'level', 'sooner', 'beach', 'suitable', 'human', 'recreational', 'activity', 'marine', 'life', 'survive', 'well', 'webbased', 'forecasting', 'tool', 'measuring', 'ph', 'fecal', 'coliform', 'level', 'developed', 'order', 'show', 'public', 'forecasted', 'amount', 'two', 'element', 'found', 'beach', 'agusan', 'del', 'norte', 'researcher', 'used', 'exponential', 'measure', 'level', 'ph', 'fecal', 'coliform', 'next', 'month', 'time', 'series', 'measuring', 'level', 'five', 'year', 'given', 'keywords', 'ph', 'fecal', 'coliform', 'forecasting', 'system']"
"['recruitment', 'selection', 'system', 'using', 'classification', 'mining']","['among', 'challenge', 'growing', 'agency', 'organization', 'face', 'human', 'resource', 'management', 'evaluating', 'screening', 'pool', 'applicant', 'selecting', 'suitable', 'deserving', 'candidate', 'fill', 'vacant', 'position', 'explored', 'historical', 'classification', 'mining', 'address', 'problem', 'information', 'technology', 'exploited', 'meet', 'objective', 'implement', 'strategy', 'recruitment', 'selection', 'system', 'using', 'mining', 'system', 'collect', 'applicant', 'internetbased', 'interface', 'automatically', 'computes', 'score', 'every', 'hiring', 'criterion', 'classifies', 'applicant', 'using', 'artificial', 'neural', 'network', 'model', 'model', 'correctly', 'classified', 'instance', 'accuracy', 'rate', 'system', 'able', 'output', 'long', 'list', 'shortlist', 'finally', 'list', 'applicant', 'selection', 'prescribed', 'report', 'template', 'head', 'agency', 'support', 'decisionmaking', 'aid', 'enhancement', 'existing', 'human', 'resource', 'process', 'provides', 'essential', 'support', 'assistance', 'selection', 'committee', 'head', 'agency', 'making', 'wellgrounded', 'fair', 'consistent', 'decision', 'keywords', 'mining', 'neural', 'network', 'recruitment', 'selection', 'classifier']"
"['automated', 'identification', 'tree', 'specie']","['automated', 'identification', 'tree', 'specie', 'developed', 'help', 'identify', 'common', 'tree', 'possible', 'identify', 'tree', 'looking', 'leaf', 'however', 'possible', 'make', 'identification', 'using', 'feature', 'leaf', 'automation', 'based', 'morphological', 'characteristic', 'leaf', 'arrangement', 'composition', 'shape', 'margin', 'base', 'apex', 'surface', 'venation', 'within', 'csu', 'campus', 'expert', 'system', 'used', 'photograph', 'identify', 'morphological', 'characteristic', 'identifying', 'tree', 'expert', 'system', 'would', 'visualize', 'location', 'identified', 'tree', 'using', 'gi', 'mapping', 'use', 'modern', 'day', 'helped', 'overcome', 'routine', 'identification', 'becomes', 'imperative', 'attempt', 'use', 'identifying', 'various', 'specie', 'tree', 'automated', 'mentification', 'tree', 'specie', 'aitscsu', 'integrates', 'expert', 'system', 'gi', 'mapping', 'using', 'exsys', 'corvid', 'knowledge', 'expert', 'system', 'shell', 'geoserver', 'gi', 'would', 'guide', 'user', 'step', 'step', 'accomplish', 'task', 'identifying', 'locating', 'tree', 'specie', 'csu', 'find', 'tree', 'natural', 'environment', 'collect', 'leaf', 'answer', 'tree', 'identification', 'question', 'expert', 'system', 'question', 'interview', 'complete', 'able', 'identify', 'tree', 'name', 'common', 'name', 'also', 'visualize', 'location', 'tree', 'gi', 'map', 'keywords', 'identification', 'expert', 'system', 'gi']"
"['automated', 'identification', 'system', 'mangrove', 'specie', 'found', 'along', 'bay']","['automated', 'identification', 'system', 'mangrove', 'specie', 'found', 'along', 'bay', 'webbased', 'integration', 'expert', 'system', 'geographic', 'information', 'system', 'designed', 'automation', 'since', 'knowledge', 'realized', 'well', 'documented', 'using', 'modern', 'interactive', 'database', 'benefit', 'present', 'future', 'generation', 'system', 'capable', 'identify', 'mangrove', 'specie', 'based', 'unique', 'physical', 'characteristic', 'visualize', 'location', 'identified', 'specie', 'using', 'gi', 'although', 'handle', 'complex', 'application', 'simple', 'enough', 'end', 'user', 'run', 'program', 'perform', 'sensitivity', 'analysis', 'minimum', 'training', 'time', 'moreover', 'used', 'based', 'conducted', 'mr', 'jess', 'jumawan', 'faculty', 'member', 'also', 'expert', 'mangrove', 'addition', 'system', 'developed', 'following', 'software', 'exsys', 'corvid', 'automation', 'knowledge', 'base', 'quantum', 'gi', 'creation', 'map', 'shapefile', 'postgresql', 'geoserver', 'open', 'layer', 'layer', 'storage', 'visualization', 'point', 'map', 'lastly', 'joomla', 'serve', 'graphical', 'user', 'interface', 'system', 'term', 'usability', 'impact', 'assessment', 'system', 'acceptable', 'perceived', 'respondent', 'software', 'testing', 'evaluation', 'find', 'useful', 'easy', 'use', 'keywords', 'expert', 'system', 'geographic', 'information', 'system', 'formulation', 'model', 'design', 'system', 'testing']"
"['information', 'system', 'planning', 'municipality', 'buenavista', 'new', 'slaughterhouse']","['information', 'system', 'planning', 'municipality', 'buenavista', 'new', 'slaughterhouse', 'conducted', 'ass', 'current', 'process', 'focus', 'organized', 'well', 'recommends', 'information', 'system', 'applicable', 'establishment', 'series', 'interview', 'done', 'broaden', 'knowledge', 'proponent', 'acquire', 'information', 'needed', 'properly', 'execute', 'four', 'stage', 'model', 'information', 'system', 'planning', 'present', 'detailed', 'operational', 'process', 'significant', 'information', 'slaughterhouse', 'recommended', 'would', 'innovative', 'solution', 'properly', 'organizing', 'operational', 'process', 'establishment', 'requirement', 'resource', 'allocation', 'schedule', 'costbenefit', 'analysis', 'detail', 'recommended', 'billing', 'system', 'inventory', 'management', 'system', 'presented', 'well', 'give', 'establishment', 'clear', 'detailed', 'information', 'system', 'plan', 'keywords', 'information', 'system', 'planning', 'four', 'stage', 'model', 'information', 'system', 'planning', 'information', 'system', 'plan', 'billing', 'system', 'inventory', 'management', 'system']"
"['web', 'based', 'interactive', 'campus', 'map']","['interactive', 'campus', 'map', 'vital', 'connecting', 'whole', 'school', 'community', 'including', 'student', 'alumnus', 'campus', 'office', 'provides', 'simple', 'alumnus', 'navigate', 'campus', 'change', 'away', 'also', 'make', 'easier', 'campus', 'department', 'communicate', 'student', 'wish', 'interact', 'dynamic', 'map', 'display', 'easytouse', 'format', 'making', 'simple', 'identify', 'find', 'alter', 'format', 'share', 'information', 'use', 'visual', 'navigation', 'simplifies', 'process', 'allowing', 'even', 'untrained', 'user', 'see', 'correlation', 'trend', 'outlier', 'assisting', 'decisionmaking', 'researcher', 'however', 'identify', 'issue', 'static', 'campus', 'map', 'date', 'redundant', 'solve', 'researcher', 'used', 'laragon', 'local', 'development', 'environment', 'create', 'interactive', 'campus', 'map', 'solution', 'allows', 'rapid', 'creation', 'local', 'development', 'environment', 'web', 'apps', 'interactive', 'map', 'delivers', 'crucial', 'geographic', 'feature', 'without', 'user', 'read', 'textheavy', 'page', 'employing', 'visual', 'information', 'processing', 'numerous', 'layer', 'accommodate', 'various', 'datasets', 'make', 'use', 'campus', 'map', 'admin', 'system', 'proactive', 'update', 'user', 'interact', 'map', 'acquire', 'information', 'relevant', 'personal', 'requirement', 'keywords', 'interactive', 'campus', 'map', 'school', 'community', 'student', 'alumnus', 'campus', 'office']"
"['microcontent', 'encapsulation', 'entry', 'using', 'qr', 'code']","['android', 'operating', 'system', 'successfully', 'integrated', 'mobile', 'phone', 'nowadays', 'smartphones', 'widely', 'used', 'throughout', 'world', 'technology', 'advance', 'text', 'represented', 'different', 'form', 'quick', 'response', 'code', 'one', 'way', 'hiding', 'text', 'image', 'vastly', 'emerged', 'industry', 'filling', 'application', 'form', 'hand', 'time', 'consuming', 'cost', 'expensive', 'paper', 'proponent', 'collect', 'different', 'application', 'form', 'developed', 'way', 'hide', 'personal', 'information', 'qr', 'code', 'built', 'android', 'application', 'able', 'encode', 'qr', 'code', 'decode', 'qr', 'code', 'display', 'information', 'form', 'gmerate', 'userdefined', 'portable', 'file', 'application', 'form', 'using', 'zxing', 'library', 'droidtext', 'library', 'based', 'series', 'experiment', 'testing', 'concluded', 'using', 'qr', 'code', 'hide', 'personal', 'information', 'needed', 'application', 'form', 'creation', 'userdefined', 'application', 'possible', 'keywords', 'quick', 'response', 'qr', 'code', 'hiding', 'personal', 'information', 'qr', 'codezxing', 'library', 'droidtest', 'library', 'android', 'application', 'form']"
"['appropriate', 'technology', 'barangay', 'health', 'center']","['appropriate', 'technology', 'provide', 'major', 'contribution', 'improve', 'access', 'quality', 'service', 'reaching', 'communication', 'information', 'goal', 'provide', 'health', 'communication', 'including', 'consumer', 'patient', 'provides', 'educationc', 'decision', 'social', 'support', 'health', 'promotion', 'knowledge', 'transfer', 'delivery', 'service', 'barangay', 'health', 'center', 'philippine', 'consists', 'benefit', 'implementing', 'appropriate', 'technology', 'financial', 'factor', 'adapting', 'new', 'technology', 'ii', 'support', 'v', 'culture', 'barrier', 'institution', 'highlight', 'appropriate', 'technology', 'future', 'researcher', 'used', 'motivate', 'application', 'technology', 'every', 'health', 'center', 'develop', 'information', 'system', 'help', 'efficiency', 'effectiveness', 'process', 'barangay', 'health', 'center', 'keywords', 'appropriate', 'technology', 'access', 'communication', 'information']"
"['design', 'implementation', 'intelligent', 'queue', 'management', 'system', 'minimizing', 'long', 'queue']","['institution', 'must', 'provide', 'quality', 'standard', 'service', 'clientèles', 'achieved', 'upgrading', 'infrastructure', 'essential', 'improve', 'overall', 'performance', 'one', 'acquire', 'service', 'service', 'provider', 'respectively', 'one', 'problem', 'need', 'improvement', 'long', 'queue', 'student', 'may', 'experience', 'enrolment', 'major', 'examination', 'day', 'middleware', 'must', 'developed', 'control', 'long', 'queue', 'managing', 'different', 'request', 'varying', 'distribution', 'request', 'appropriate', 'server', 'order', 'massively', 'reduced', 'waiting', 'period', 'single', 'queue', 'multiple', 'server', 'queue', 'model', 'application', 'middleware', 'named', 'queue', 'request', 'manager', 'middleware', 'responsibility', 'allocating', 'different', 'request', 'available', 'server', 'algorithm', 'constructed', 'synchronization', 'distribution', 'queue', 'simulation', 'carried', 'graphically', 'presented', 'show', 'significant', 'increase', 'performance', 'using', 'application', 'keywords', 'queue', 'middleware', 'clientserver', 'microsoft', 'visual', 'studio']"
"['design', 'fabrication', 'evaluation', 'mechanically', 'operated', 'tablea', 'molder']","['growing', 'demand', 'tablea', 'continuously', 'grows', 'supply', 'hardly', 'met', 'commonly', 'table', 'maker', 'press', 'mold', 'cocoa', 'mass', 'tablet', 'plastic', 'molders', 'pulvoron', 'type', 'molder', 'causing', 'high', 'manpower', 'delay', 'operation', 'existing', 'pulvoron', 'type', 'molders', 'consume', 'longer', 'time', 'production', 'produce', 'one', 'molded', 'table', 'time', 'inconsistent', 'size', 'weight', 'tablea', 'therefore', 'conducted', 'contribute', 'meet', 'tablea', 'demand', 'mean', 'introducing', 'mechanically', 'operated', 'table', 'molder', 'performance', 'evaluation', 'machine', 'term', 'molding', 'capacity', 'efficiency', 'considered', 'using', 'three', 'pulley', 'diameter', 'different', 'speed', 'treatment', 'machine', 'operating', 'pulley', 'rpm', 'showed', 'highest', 'molding', 'capacity', 'efficiency', 'pcshr', 'respectively', 'economic', 'analysis', 'showed', 'machine', 'gave', 'rate', 'return', 'payback', 'period', 'month', 'keywords', 'cacao', 'cocoa', 'mass', 'tablea', 'tablea', 'molder']"
"['social', 'welfare', 'development', 'newly', 'indigent', 'family', 'philhealth', 'membership', 'information', 'system']","['world', 'change', 'many', 'thing', 'also', 'changing', 'way', 'developing', 'advance', 'participation', 'human', 'race', 'especially', 'technology', 'collecting', 'saving', 'managing', 'one', 'important', 'issue', 'considered', 'balance', 'consistency', 'social', 'welfare', 'development', 'cswd', 'one', 'agency', 'facing', 'problem', 'current', 'system', 'managing', 'new', 'indigent', 'family', 'philheath', 'membership', 'making', 'reliable', 'report', 'line', 'researcher', 'inspired', 'address', 'issue', 'provided', 'answer', 'regarding', 'matter', 'hand', 'researcher', 'propose', 'transform', 'manual', 'system', 'automated', 'one', 'fast', 'reliable', 'report', 'keywords', 'indigent', 'philhealth', 'cswd']"
