Title,Abstract
AN AUTOMATED IDENTIFICATION SYSTEM OF MANGROVE SPECIES FOUND ALONG BUTUAN BAY,"An Automated Identification System of Mangrove Species Found Along Butuan Bay is a web-based integration of Expert System and Geographic Information System which designed for the data automation, since knowledge can only be realized when it was well documented by using modern interactive database for the benefit of the present and future generations. In this research, the system was capable to identify mangrove species based on its unique physical characteristics and to visualize the location of the identified species using GIS. Although it handles very complex data, the application is simple enough so that end users can run the program and perform sensitivity analysis with minimum training time. Moreover, the data used in this research was based on the research conducted by Mr. Jess Jumawan a faculty member of Caraga State University and also an expert of mangroves. In addition, the system was developed with the following software: Exsys Corvid for the automation of the knowledge base, Quantum GIS for creation of the map and shapefile, PostgreSQL, Geoserver and Open layers for layer storage and visualization of points in the map. And lastly, Joomla serve as graphical user interface of the system. In terms of usability and impact assessment, this system was acceptable as perceived by the respondents during software testing and evaluation and they find it useful and easy to use. Keywords: Expert system, Geographic Information System, Formulation of Model Design for System Testing"
AN INFORMATION SYSTEMS PLANNING ON THE MUNICIPALITY OF BUENAVISTA NEW SLAUGHTERHOUSE,"An Information Systems Planning for the Municipality of Buenavista New Slaughterhouse was conducted to assess its current processes and focus on those that have not been organized well and recommends Information Systems (15) applicable to the establishment. Series of interviews were done to broaden the knowledge of the proponents and acquire the information needed and to properly execute the Four Stage Model of Information Systems Planning technique. The study presents the detailed operational processes and the significant information of the slaughterhouse and the recommended IS that would be the innovative solution in properly organizing the operational processes of the establishment. Requirements, resource allocation, schedule, cost-benefit analysis and other details of the recommended Billing System and Inventory Management System were presented as well to give the establishment a clear and detailed Information Systems Plan Keywords: Information Systems Planning, Four Stage Model of Information Systems Planning Information Systems Plan, Billing System, Inventory Management System"
WEB BASED INTERACTIVE CARAGA STATE UNIVERSITY CAMPUS MAP,"An interactive campus map is vital for connecting the whole school community, including students, alumni, and campus offices. It provides a simple approach for alumni to navigate campus changes after being away for a while. It also makes it easier for campus departments to communicate with the students they wish to interact with. The dynamic map displays data in an easy-to-use format, making it simple to identify, find, alter, format, and share information. The use of visual navigation simplifies the process, allowing even untrained users to see correlations, trends, and outliers, assisting in decision-making. The researchers did, however, identify an issue with Caraga State University's static campus map, which is out of date and redundant. To solve this, the researchers used the Laragon local development environment to create an interactive campus map. This solution allows for the rapid creation of a local development environment for web apps. The interactive map delivers crucial geographic features without having users read through text-heavy pages by employing visual information processing. It has numerous layers that accommodate various datasets and makes use of the Campus Map Admin system for proactive updates. Users can interact with the map to acquire information that is relevant to their personal requirements. Keywords: interactive campus map, school community, students, alumni, campus offices"
MICROCONTENT ENCAPSULATION AS DATA ENTRY USING QR CODE,"Android operating system has successfully integrated in mobile phones. Nowadays, smartphones are widely used throughout the world. While technology advances, text can now be represented in different forms. Quick Response code is one way of hiding text in an image and it was vastly emerged in industries. Filling up the application form by hand is time consuming and cost expensive. In this paper the proponent collects different application forms and developed a way to hide all the personal information in QR codes. The built android application is able to encode QR code, decode QR code, display information in a form and gmerate user-defined portable data file application form using Zxing library and Droidtext library. Based on the series of experiments and testing, it was concluded that using QR codes to hide personal information needed in application forms and creation of user-defined application is possible. Keywords: Quick Response (QR) code, hiding personal information in QR code,Zxing library, Droidtest library, android application form."
A CASE STUDY OF APPROPRIATE TECHNOLOGY IN BARANGAY HEALTH CENTER IN BUTUAN CITY,"Appropriate Technologies provide and major contribution to improve access and quality of services reaching both communication and information. Its goal is to provide health communication, including consumer, patient and provides educationc decision and social support, health promotion, knowledge transfer, and the delivery of services on the barangay health center in Butuan City, Philippines. The study consists of (i) the benefits of implementing appropriate technology (i) the financial factor in adapting new technology (ii) the government support and (v) culture barriers in the institutions. This study highlights the appropriate technologies that the future researcher can used to motivate and research about the application of technology in every health centers and develop information system that can help for the efficiency and effectiveness of the processes in barangay health centers Keywords Appropriate technology, access, communication, information"
DESIGN AND IMPLEMENTATION OF INTELLIGENT QUEUE MANAGEMENT SYSTEM FOR MINIMIZING LONG QUEUES,"As an institution, the Caraga State University must provide quality and standard services to its clientèles. This can be achieved by upgrading its infrastructure that is essential to improve the overall performance not just the one who acquire the service but to the service provider, respectively. One of the problems that needs improvement is the long queue that student may experience during enrolment and major examination days. A middleware must be developed to control long queues by managing different request varying on the distribution of request to appropriate server in order to massively reduced waiting period. A Single Queue with Multiple server was the queue model of the application and has its middleware named Queue Request Manager, the middleware has the responsibility in allocating different requests to the available server, and an algorithm has been constructed for the synchronization and distribution of queues. Simulations was carried out and were graphically presented to show the significant increase of performance using this application Keywords: Queue, Middleware, Client-Server, Microsoft Visual Studio 2010"
"DESIGN, FABRICATION AND EVALUATION OF MECHANICALLY OPERATED TABLEA MOLDER","As the growing demand of Tablea continuously grows, the supply is hardly met. Commonly, the Tables makers press and mold the cocoa mass into tablets through Plastic Molders and Pulvoron Type Molder causing them to have high manpower and delay of operation. Existing Pulvoron Type Molders consume longer time during production, produces one molded Tables at a time, inconsistent size and weight of the Tablea Therefore, this study was conducted to contribute and meet Tablea demand by means of introducing mechanically operated Tables molder. Performance Evaluation of the machine in terms of molding capacity and efficiency were considered using three pulley diameters at different speeds as treatments. The machine operating at 18"" pulley (97 rpm) showed the highest molding capacity and efficiency at 841.11 pcs/hr and 88.17%, respectively. Economic analysis showed that the machine gave rate of return of 69.09% and a payback period of 15.63 months. Keywords: Cacao, Cocoa Mass, Tablea, Tablea Molder"
BUTUAN CITY SOCIAL WELFARE DEVELOPMENT NEWLY INDIGENT FAMILY PHILHEALTH MEMBERSHIP INFORMATION SYSTEM,"As the world change, many things also are changing its way in developing through advance participation for the human race especially in technology. In collecting saving, and managing some data, one of the important issues to be considered was its balance and consistency. The City Social Welfare Development (CSWD) was one of the agencies that were facing some problems in their current system. In managing their data of the new indigent family for Philheath membership and making some reliable reports In line with this, the researcher was inspired to address this issue and provided some answers regarding matter at hand. The researchers propose transform their manual system into automated one for fast and reliable reports. Keywords: Indigent, Philhealth, CSWD"
"AUTOMATED ENROLMENT SYSTEM FOR KINGDOM MESSAGE MINISTRY SCHOOL, INC.","As the world change, many things are also changing its way in developing through advance participation for the human race especially in technology. Schools that are not fully developed using old scenario is one of the important issues and must have concerned. The Kingdom Message School, Inc. was one of the schools facing this problem. To manage this issue the researcher was inspired to address this concern and provided some answer regarding matter at hand. The researcher proposed to transform their manual system into automated one, to secure and measures that needed to be adopted in the information system of KMMSI in terms of accessing the system which makes it beneficial for the institution. Keywords: Automated System, Enrolment System, KMMSI"
ACCREDITION DOCUMENTS AGGREGATOR USING MULTI-LABEL CLASSIFIER,"Automatic Document Classification (ADC) is an application to supervise machine learning. The goal is to predict class(es) to unseen and unlabeled documents by using the knowledge acquired from training sample of related pre-labeled documents. Most real-world applications of ADC are attributed to multi-label problems, the event where one document is categorized into multiple classes. The proposed study explored supervised document classification techniques for the multi-label problem of classifying accreditation documents based on AACCUP instrument's criteria and parameters. The accuracy score that the model achieved to the test set was 87%. The model served as the core component in developing an Expert System for aggregating accreditation-related documents. With the developed system, the accuracy score was validated with the human annotation comparing the result to the system's prediction and achieved an 88% accuracy score. The system was evaluated with a USE questionnaire. While automating its classification, the proposed system will also provide a centralized repository of these documents, enabling the accreditation committee and institute administrators to monitor and manage these documents easily, thus helping the institution at large in alleviating the workload of accreditation activity. Keywords: supervised learning, document classification, multi-label, accreditation"
BUSINESS-DRIVEN MODEL TO HELP MITIGATE ELECTRONIC WASTE IN BUTUAN CITY,"Based on the United Nation's Global E-waste Monitor 2017, the quantity of e-waste generation in 2016 was around 44.7 million metric tones (Mt), or 6.1 kg per inhabitant. It is estimated that in 2017, the world e-waste generation will exceed 46 Mt and expected to grow to 52.2 Mt in 2021, with an annual growth rate of 3 to 4%. With the 44.7 Mt e-waste generated in 2016, only 20% (8.9 Mt) is documented to be collected and properly recycled, while 80% (35.8 Mt) is not documented (4% thrown into residual waste, 76% unknown). In 2013 to 2015, the Philippines have annually generated a total of around 4,7000 tons of e-waste, 14.91% of which came from the National Capital Region alone (EMB- DENR, 2016). The most common e-waste in the country are cellular phones, computers, laptops, and appliances such as televisions and refrigerators. To mitigate this prevalent growth of electronic wastes, assessment of this kind of wastes and investigation on how the community manages it were conducted and a business-driven model was developed. The model consisted of integrated waste management models modified to incorporate a business-driven approach where people may see it not as a government mandate but as motivation to help mitigate waste while raising revenue streams. Keywords: Business-Driven, Electronic waste, Mitigation Model"
AUTOMATED BUILDING FOOTPRINT EXTRACTION FROM DSM AND ATM IN ARCGIS,"Building information produced from earth observation data is now being widely used in the development and simulation of different studies. The manual method of obtaining the building footprints is laborious and time-consuming hence this study aims to create a method that will cater an automatic extraction of building footprints. This study focused on the exclusive use of LiDAR-derived Digital Surface Model (DSM) and Digital Terrain Model (DTM) in order to obtain the Normalized Digital Surface Model (NDSM) and be able to extract building footprints of the area. Using NDSM and the knowledge on building geometric characteristics, such as height, slope and area the researcher would be able to separate the buildings from the other features existing on the surface. Existing tools of ArcGIS are collected and integrated in the ModelBuilder order to create an interface that will be used as an end-to-end tool in extracting the building footprints. In ModelBuilder, the model is represented as a diagram that chain together sequences of processes and geoprocessing tools, using the output of one process as the input to another by the user. process. The result of this study should provide an interface where parameters may define Keywords: NDSM, DTM, DSM, ModelBuilder, Building Footprint"
BUS CONDUCTOR TO PASSENGER COMMUNICATION,"Butuan City is a growing city in Caraga Region where transportation is one of its major needs. Buses are one of the major vehicle people use every day in means of transportation. One of the applications is to track this on the road. The developed system can provide the riding public a location of the buses and not only that but it can also help the passengers to reserve a seat for easy business transaction. The system enables you to monitor the bus on roads 24/7 even in any weather condition. The system can be use through smartphones and tablets with an Android OS Jelly Bean up to higher versions and also with an internet connection. The main objective of the study is to help the riding public an easy way of knowing the bus locations and to have an assurance that the passenger may have a seat. Through the developed system the users can now prepare an casier travel plan Keywords: Smartphone, Android Operating System, Jelly Bean"
ESTABLISHMENT OF BUTUANON LANGUAGE DATABASE,"Butusson Dictionary on Mobile Android Technology is an offline application that helps the people understand the Butuanon words- especially the teachers and students under the implementation of the K to 12 Mother Tongue Based-Multi Language Education (MTB- MLE) system. The portability and ease of use includes the translation of English or Visayan term including their examples and Butuanon sample usage in every entry. This study was essentially significant for those who want to be involved in such learning. The application ran exclusively for android mobile phones, written in a Java using the Android Jellybean as its platform. In addition, the phone must be Java enabled and the screen size and resolution should be 720x1280 xhdpi. The application responded quickly to the user's needs either Visayan or English as the medium of language they want to use in searching Since the application is basic, future researchers can enhance the application and make its content more informative and entertaining to the users in terms of adding more Butanon words that can be more educative and using some innovative approaches to be easily understood and grasped by users. Keywords: Butuanon Language, Mobile Based, Android Technology, Java, Android Jellybean"
KNOWLEDGE ACQUISITION ON INSTRUMENT-BASED DOCUMENT COLLECTION,"Caraga State University (CSU), as an institution of higher learning, endeavors to achieve its Mission, Vision, Goals, and Objectives to be responsive to regional and national goals, and continually maintain quality standards through accreditation. Accreditation is one way to keep Higher Educational Institutions in check against standards in place. CSU continues its venture on sending its different programs for accreditation. Consequently, as the university prepares for the accreditation survey visits, several documents have to be prepared, compiled, and organized in accordance to the AACCUP OBQA Survey Instrument. With the growing and progressive community of CSU, faculty members are engaged in various academic and research endeavors, and accreditation-related activities become an add-on assignment for them, adding to their full load of tasks. Document collection during accreditation preparation is the most essential job an accreditation taskforce needs to comply. This includes reviewing of the survey instrument and meticulously identify (the most critical part) and collect the appropriate documents to be attached as support documents in specific benchmark statements/parameters. This task must be done correctly, otherwise, resources, time, and effort will be wasted. Apparently, the process is tedious. Hence, to simplify the task of document identification, this study acquired and extracted knowledge from accreditation experts as baseline data for the automation of document collection for accreditation. Knowledge Acquisition on Instrument-based document collection aimed to acquire knowledge on accreditation document collection and provide a methodology to analyze and to identify significant rules or keywords that make-up a certain document that accordingly supports a specific benchmark statement in the survey instrument. Making the document collection manageable and efficient. Keywords: Accreditation, Knowledge Acquisition, Decision Tree, Significant Words, OBQA Survey Instrument"
DISTRIBUTION OF DIGITAL CONTENT USING SECURED REST-BASED WEB SERVICES,"Caraga State University has its own virtual library that offers different variety of e- books to aid the students in their studies. One of the problem that the university is facing right now is securing the documents in the virtual library. The university is strictly avoiding the plagiarism issues in the institution but as of now, unauthorized redistribution of e-books from the virtual library is possible. Using React Native Expo SDK, the researchers have developed a facility that enhances the security features of the current system. There were various packages in react native that was used in order to achieve the goal of the study such as Expo file system, AsyncStorage, and React Native PDF reader. It was found that the security features of the developed system is realible and the user testing satisfaction resulted to 78.125%, which is equivalent to ""Good"", proves the usability of the developed system. Keywords: Virtual Library, Plagiarism, Distribution, E-books, Security"
AN AUTOMATED ONLINE ABILITY TEST,"Caraga State University has undergone a thorough development process until it reaches its state right now. One of its reliable offices that functions well is the Guidance Office The office serves as counseling and testing center of CSU. It caters counseling and examining students according to their ability and personality development of their well-being. Each item or module of the test follows a standard procedure from a standard source; however, the current system consumes volumes of paper as its input and output material. With this, an automated online ability test was created to lessen the burden of the guidance personnel in checking, generating results and providing test material. The student will take the test in a user-friendly interface and have fast results in seconds immediately after the test. This study was done by following standard research procedure such as Unified Modeling Language (UML) with the aid of the guidance personnel and its faculty as well as from some advices and technical support. Providing an automated online ability test make the testing and checking a lot more easy for the guidance personnel. Automated Online Ability Test was not only for the guidance personnel's sake but it also addressed to the student for they will took the test not in a sheet of paper and shaded their answers but on the programs directly. The system would contribute to the modern world as a new and easy way of administering and taking the test."
